Job Title,Company,Location,Source,Job Link,
Data Analyst,S&P Global,"Monterey, CA",LinkedIn,https://www.linkedin.com/jobs/view/data-analyst-at-s-p-global-4178560022?position=57&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=%2FzLottwRm4C4sQVSczvVww%3D%3D,
AI & SEO Content Optimization Intern,HP,"Spring, TX",LinkedIn,https://www.linkedin.com/jobs/view/ai-seo-content-optimization-intern-at-hp-4181739746?position=58&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=cgq2S9RqVgRsO8j4TQgTrA%3D%3D,
Software Engineer,Corgi (YC S24),"San Francisco, CA",LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-at-corgi-yc-s24-4161664259?position=59&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=AvGot1ug04Mx28dqfW71eg%3D%3D,
Senior Pricing Data Scientist,"AmTrust Financial Services, Inc.",United States,LinkedIn,https://www.linkedin.com/jobs/view/senior-pricing-data-scientist-at-amtrust-financial-services-inc-4081324336?position=60&pageNum=0&refId=8XDstk6yrFh64HM06EdMFQ%3D%3D&trackingId=Hr61F%2FC9CE%2F1XYAMq7Ee3Q%3D%3D,
Senior Data Engineer - Data Sourcing,Revelio Labs,"New York, NY",LinkedIn,https://www.linkedin.com/jobs/view/senior-data-engineer-data-sourcing-at-revelio-labs-4150327615?position=1&pageNum=2&refId=Jo%2Fu4ZxPZJv1uqyLlu9%2BVA%3D%3D&trackingId=fw%2BisV1ESqSRj055OSsfhw%3D%3D,
Software Engineer - Pretraining Data,Magic,United States,LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-pretraining-data-at-magic-4064941058?position=2&pageNum=2&refId=Jo%2Fu4ZxPZJv1uqyLlu9%2BVA%3D%3D&trackingId=X5K0uKCk0pmGJbGfETMMEQ%3D%3D,
NASI - Quality Data Analyst,Subaru of America,"Merchantville, NJ",LinkedIn,https://www.linkedin.com/jobs/view/nasi-quality-data-analyst-at-subaru-of-america-4167030077?position=3&pageNum=2&refId=Jo%2Fu4ZxPZJv1uqyLlu9%2BVA%3D%3D&trackingId=3zXQSlyVgm4kqz3i2pjBWA%3D%3D,
NASI - Quality Data Analyst,TieTalent,"New Jersey, United States",LinkedIn,https://www.linkedin.com/jobs/view/nasi-quality-data-analyst-at-tietalent-4187456375?position=4&pageNum=2&refId=Jo%2Fu4ZxPZJv1uqyLlu9%2BVA%3D%3D&trackingId=0WV9URM%2FlX1eCFkTZYXq0A%3D%3D,
Data Scientist,Redhorse Corporation,"Virginia, United States",LinkedIn,https://www.linkedin.com/jobs/view/data-scientist-at-redhorse-corporation-4167994193?position=5&pageNum=2&refId=Jo%2Fu4ZxPZJv1uqyLlu9%2BVA%3D%3D&trackingId=VDmchDiGE50EjnOsHGJ6YA%3D%3D,
Data Science Intern - Data Parsing & Quality,HCM TradeSeal,"Michigan, United States",LinkedIn,https://www.linkedin.com/jobs/view/data-science-intern-data-parsing-quality-at-hcm-tradeseal-4187477669?position=6&pageNum=2&refId=Jo%2Fu4ZxPZJv1uqyLlu9%2BVA%3D%3D&trackingId=lLMpuCrA1ibTOby2mWRwkQ%3D%3D,
